ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-01-02,07-CCDC,NhËp CCDC c¸c lo¹i (H§ 0077143 ngµy 02/01/2019) - Cöa hµng MIMI,331,,20280000,0
2019-01-04,04-CCDC,NhËp CCDC c¸c lo¹i theo H§ sè: H§ 25062018 ngµy 25/06/2018 (H§ 0004357 ngµy 04/01/2019) - Cty T©n Mai Thµnh,331,,10143000,0
2019-01-04,05-CCDC,NhËp CCDC c¸c lo¹i theo H§ sè: H§ 15092018 ngµy 15/09/2018 (H§ 0004356 ngµy 04/01/2019) - Cty T©n Mai Thµnh,331,,18154500,0
2019-01-08,02-CCDC,NhËp CCDC c¸c lo¹i (H§ 0015774 ngµy 08/01/2019) - Cty Phan Anh,331,,8200000,0
2019-01-14,03-CCDC,NhËp CCDC c¸c lo¹i (H§ 0016294 ngµy 14/01/2019) - Cty Phan Anh,331,,17150000,0
2019-01-14,06-CCDC,NhËp CCDC c¸c lo¹i (H§ 0077148 ngµy 14/01/2019) - Cöa hµng MIMI,331,,213130000,0
2019-01-14,34-PC,"Chi TT tiÒn mua thÎ nhí, Camera l¾p ®Æt t¹i cæng chÝnh BÖnh viÖn",1111,,6320000,0
2019-01-23,09-CCDC,NhËp CCDC c¸c lo¹i theo H§ sè: H§ 25062018 ngµy 25/06/2018 (H§ 0004742 ngµy 23/01/2019) - Cty T©n Mai Thµnh,331,,1113000,0
2019-01-24,01-CCDC,"NhËp CCDC c¸c lo¹i theo H§ sè: 0265/10/2018/H§-SOECO/BVXA ngµy 31/10/2018 - Cung cÊp camera, ®Çu ghi h×nh (H§ 0012662 ngµy 24/01/2019) - Cty Sao Nam An",331,,163145549,0
2019-01-24,61-PC,Chi TT tiÒn mua c©n ®ång hå 30 kg t¹i Khu Hµnh Ch¸nh BVXA VÜnh Long,1111,,375000,0
2019-01-25,10-CCDC,NhËp CCDC c¸c lo¹i theo H§ sè: H§ 15092018 ngµy 15/09/2018 (H§ 0004764 ngµy 25/01/2019) - Cty T©n Mai Thµnh,331,,9392250,0
2019-01-25,11-CCDC,NhËp CCDC c¸c lo¹i theo H§ sè: H§ 15092018 ngµy 15/09/2018 (H§ 0004765 ngµy 25/01/2019) - Cty T©n Mai Thµnh,331,,21304500,0
2019-01-29,73-PC,Chi TT tiÒn mua bé ®Ìn soi ®¸y m¾t Beta 200-2.5V (theo H§ 000002 ngµy 29/01/2019) -  Khoa LCK (M¾t) BVXA VÜnh Long - C«ng ty TNHH TÊn H­ng DCYK,1111,,13300000,0
