ngay,soctu,noidung,tkdung,dvtinh,copsinh
2019-01-02,09-BC/AG,"Cty Open 99 chuyÓn tiÒn tiÕp thÞ xe taxi T12/2018, 01/2019 theo H§ sè: 01/2018/H§DV ngµy 01/10/2018",1121,,8000000
2019-01-03,03-NT,"NhËp thuèc (nhËp bï thuèc kho tæng BV Xuyªn ¸ VÜnh Long, Bill 636486) - BV Xuyªn ¸ VÜnh Long",1521,,7449230
2019-01-04,05-PT,Thu tiÒn chiÕt khÊu b¸n thÎ BHYT th¸ng 11/2018 vµ ngµy 12/2018 cña UBND Ph­êng 9 (23 thÎ),1111,,380864
2019-01-04,06-PT,Thu tiÒn chiÕt khÊu s¶n l­îng x¨ng dÇu th¸ng 11/2018 cña cöa hµng x¨ng dÇu sè 37,1111,,767750
2019-01-17,188-NT,"NhËp thuèc (nhËp bï thuèc BV Xuyªn ¸ VÜnh Long, Bill 697331) - BV Xuyªn ¸ VÜnh Long",1521,,10350000
2019-01-19,207-NT,"NhËp thuèc (nhËp bï thuèc BV Xuyªn ¸ VÜnh Long, Bill 707380 ngµy 19/01/2019) - BV Xuyªn ¸ VÜnh Long",1521,,12834000
2019-01-21,211-NT,"NhËp thuèc (nhËp bï thuèc BV Xuyªn ¸ VÜnh Long, Bill 712731 ngµy 21/01/2019) - BV Xuyªn ¸ VÜnh Long",1521,,2835040
2019-01-28,37-PT,Thu tiÒn chiÕt khÊu s¶n l­îng x¨ng dÇu th¸ng 12/2018 cña Cöa hµng x¨ng dÇu sè 37,1111,,735700
2019-02-20,115-BC/AG,Cty Mai Linh chuyÓn thanh to¸n dÞch vô taxi hµng th¸ng theo H§ sè: 02/2019/H§-BVXAVL ngµy 08/01/2019 - Cty Mai Linh,1121,,10000000
2019-02-28,30-PT,Thu tiÒn chiÕt khÊu s¶n l­îng x¨ng dÇu th¸ng 01/2019,1111,,769500
2019-03-04,05-PT,Thu tiÒn chiÕt khÊu b¸n thÎ BHYT th¸ng 01/2019 cña UBND Ph­êng 9 (8 thÎ),1111,,166197
2019-03-08,85-NT,"NhËp thuèc (nhËp bï, Bill 908521) - BV Xuyªn ¸ VÜnh Long",1521,,1302323
2019-03-08,86-NT,"NhËp thuèc (nhËp bï, Bill 908924) - BV Xuyªn ¸ VÜnh Long",1521,,1890405
2019-03-08,87-NT,"NhËp thuèc (nhËp bï, Bill 908969) - BV Xuyªn ¸ VÜnh Long",1521,,224910
2019-03-14,18-PT,"Thu tiÒn ""hîp ®ång liªn kÕt"" th¸ng 02/2019 (theo H§ sè 01/2019/H§DV) - Cty Open 99",1111,,10000000
2019-03-14,85-BC/AG,Thu tiÒn hîp ®ång liªn kÕt cung cÊp dÞch vô taxi Cty taxi Phó VÜnh Long,1121,,10000000
2019-03-18,155-NT,"NhËp thuèc (m­în thuèc BV Xuyªn ¸ Cñ Chi, Bill 955675) - BV Xuyªn ¸ Cñ Chi",1521,,6633496
2019-03-23,219-NT,NhËp bï thuèc (Bill 982363 ngµy 23/03/2019) - BV Xuyªn ¸ VÜnh Long,1521,,675000
2019-03-25,232-NT,"NhËp bï thuèc BV Xuyªn ¸ VÜnh Long, Bill 992835 - BV Xuyªn ¸ VÜnh Long",1521,,1008000
2019-03-27,160-BC/AG,Cty Mai Linh chuyÓn thanh to¸n dÞch vô taxi hµng th¸ng theo H§ sè: 02/2019/H§-BVXAVL ngµy 08/01/2019 - Cty Mai Linh,1121,,10000000
2019-03-28,34-PT,Thu tiÒn chiÕt khÊu s¶n l­îng x¨ng dÇu th¸ng 02/2019 - CN. Cty CP DÇu khÝ Mekong t¹i VL,1111,,674500
2019-04-02,07-BC/AG,Cty Open 99 chuyÓn tiÒn tiÕp thÞ xe taxi T03/2019 theo H§ sè: 01/2018/H§DV ngµy 01/10/2018,1121,,10000000
2019-04-09,12-PT,Thu tiÒn chiÕt khÊu b¸n thÎ BHYT th¸ng 02/2019 cña UBND Ph­êng 9 (5 thÎ),1111,,115855
2019-04-15,85-VT,"NhËp vËt t­ (nhËp bï vËt t­, Bill 1095682) - BV Xuyªn ¸ VÜnh Long",1522,,1300000
2019-04-23,29-PT,Thu tiÒn chiÕt khÊu b¸n thÎ BHYT th¸ng 03/2019 cña UBND Ph­êng 9 (34 thÎ),1111,,723897
2019-04-24,31-PT,Thu tiÒn chiÕt khÊu s¶n l­îng x¨ng dÇu th¸ng 03/2019,1111,,776500
2019-04-26,141-BC/AG,Cty Mai Linh chuyÓn thanh to¸n dÞch vô taxi hµng th¸ng theo H§ sè: 02/2019/H§-BVXAVL ngµy 08/01/2019 - Cty Mai Linh,1121,,10000000
2019-04-27,260-NT,"NhËp thuèc (H§ 0254646 ngµy 26/04/2019 (hµng khuyÕn m·i), Bill 1152747) - Cty Pymepharco",1521,,75000
2019-04-29,63-KTK,NhËp thuèc (gi¶m gi¸ hµng b¸n Bill 1159140 ngµy 29/04/2019) -Nhµ thuèc LC HCM 6/60 Tr­ng N÷ V­¬ng,1521,,1920
2019-05-06,179-BC/AG,Cty Open 99 chuyÓn tiÒn tiÕp thÞ xe taxi T04/2019 theo H§ sè: 01/2018/H§DV ngµy 01/10/2018,1121,,10000000
2019-05-11,59-KTK,NhËp thuèc (gi¶m gi¸ hµng b¸n Bill 1210952 ngµy 11/05/2019) - Nhµ thuèc Long Ch©u,1521,,3840
2019-05-13,02-KTK,TiÒn c«ng ghi nhËn vµ ®¸nh gi¸ chÊt l­îng s¶n phÈm cña Cty USM Healthcare,3388,,7714286
2019-05-31,39-PT,Thu tiÒn chiÕt khÊu s¶n l­îng x¨ng dÇu th¸ng 04/2019 cña Cty CP DÇu khÝ Mª K«ng,1111,,530200
2019-05-31,202-BC/AG,Cty Mai Linh chuyÓn thanh to¸n dÞch vô taxi th¸ng 05/2019 theo H§ sè: 15/2019/H§-BVXAVL ngµy 12/04/2019 - Cty Mai Linh,1121,,10000000
2019-06-01,02-PT,Thu tiÒn hoa hång ®¹i lý b¸n BHYT T.04/2019 ( 39 thÎ),1111,,963095
2019-06-14,94-BC/AG,Cty Open 99 chuyÓn tiÒn tiÕp thÞ xe taxi T05/2019 theo H§ sè: 003/2019/H§DV ngµy 01/05/2019,1121,,10000000
2019-06-27,213-BC/AG,Cty Mai Linh chuyÓn thanh to¸n dÞch vô taxi th¸ng 06/2019 theo H§ sè: 15/2019/H§-BVXAVL ngµy 12/04/2019 - Cty Mai Linh,1121,,10000000
2019-06-28,71-KTK,NhËp v¾c xin (chiÕt khÊu hµng b¸n Bill 1429175 ngµy 28/06/2019) - Cty d­îc Sµi Gßn,1521,,981750
2019-07-03,08-PT,Thu tiÒn chiÕt khÊu s¶n l­îng x¨ng dÇu th¸ng 05/2019,1111,,751250
2019-07-05,11-PT,Thu tiÒn chiÕt khÊu b¸n thÎ BHYT th¸ng 05/2019 cña UBND Ph­êng 9 (49 thÎ),1111,,791283
2019-07-08,63-BC/AG,Cty Open 99 chuyÓn tiÒn tiÕp thÞ xe taxi T06/2019 theo H§ sè: 003/2019/H§DV ngµy 01/05/2019 - Cty Open 99,1121,,10000000
2019-07-30,95-KTK,ChiÕt khÊu s¶n l­îng x¨ng dÇu th¸ng 06/2019,331,,661750
2019-07-31,282-BC/AG,Cty Mai Linh chuyÓn thanh to¸n dÞch vô taxi th¸ng 07/2019 theo H§ sè: 15/2019/H§-BVXAVL ngµy 12/04/2019 - Cty Mai Linh,1121,,10000000
2019-08-02,09-BC/AG,"Cty Open 99 chuyÓn tiÒn tiÕp thÞ xe taxi T07, 08/2019 theo H§ sè: 003/2019/H§DV ngµy 01/05/2019 - Cty Open 99",1121,,20000000
2019-08-19,34-PT,Thu tiÒn chiÕt khÊu b¸n thÎ BHYT th¸ng 06/2019 cña UBND Ph­êng 9 (27 thÎ),1111,,372632
2019-08-19,91-VT,"NhËp vËt t­ (H§ 0016334 ngµy 19/08/2019, Bill 1664853, BN: NguyÔn §øc Phóc, MS: 146782) - Cty Thµnh An - Hµ Néi tù thanh to¸n tiÒn",1522,,90000
2019-08-27,104-KTK,ChiÕt khÊu s¶n l­îng x¨ng dÇu th¸ng 07/2019,331,,691250
2019-09-05,39-BC/AG,Cty Mai Linh chuyÓn thanh to¸n dÞch vô taxi th¸ng 08/2019 theo H§ sè: 15/2019/H§-BVXAVL ngµy 12/04/2019 - Cty Mai Linh,1121,,10000000
2019-09-07,13-PT,Thu tiÒn hoa hång ®¹i lý b¸n thÎ BHYT th¸ng 07/2019 (14 thÎ),1111,,164742
2019-09-20,84-KTK,ChiÕt khÊu s¶n l­îng x¨ng dÇu th¸ng 08/2019,331,,674500
2019-09-30,313-BC/AG,Cty Mai Linh chuyÓn thanh to¸n dÞch vô taxi th¸ng 09/2019 theo H§ sè: 15/2019/H§-BVXAVL ngµy 12/04/2019 - Cty Mai Linh,1121,,10000000
2019-10-03,27-BC/AG,Cty ¸nh D­¬ng VN chuyÓn tiÒn theo hîp ®ång liªn kÕt taxi,1121,,10000000
2019-10-04,48-BC/AG,Cty Open 99 chuyÓn tiÒn tiÕp thÞ xe taxi T09/2019 theo H§ sè: 003/2019/H§DV ngµy 01/05/2019 - Cty Open 99,1121,,10000000
2019-10-08,14-PT,Thu tiÒn hoa hång ®¹i lý b¸n thÎ BHYT th¸ng 08/2019 (38 thÎ),1111,,505032
2019-10-15,75-VT,"NhËp vËt t­ (H§ 0002992 ngµy 15/10/2019, lÇn 1 Bill 1931792, BN: NguyÔn Ngäc NghiÖp, MS: 159649) - Cty Xu©n Vy",1522,,58400000
